Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
199412,0.3641
199501,0.3568
199502,0.3716
199503,0.3470
199504,0.3374
199505,0.3260
199506,0.3621
199507,0.3873
199508,0.3819
199509,0.2975
199510,0.3119
199511,0.3229
199512,0.2694
199601,0.2738
199602,0.3241
199603,0.3357
199604,0.3273
199605,0.3182
199606,0.3387
199607,0.2958
199608,0.3305
199609,0.3041
199610,0.2626
199611,0.2926
199612,0.2973
199701,0.2701
199702,0.3007
199703,0.3447
199704,0.3502
199705,0.4148
199706,0.4852
199707,0.4891
199708,0.5223
199709,0.5605
199710,0.5708
199711,0.5638
199712,0.5794
199801,0.5576
199802,0.5575
199803,0.5420
199804,0.5575
199805,0.5717
199806,0.5838
199807,0.5891
199808,0.5468
199809,0.4293
199810,0.4058
199811,0.4311
199812,0.3731
199901,0.3137
199902,0.3051
199903,0.3713
199904,0.3379
199905,0.3166
199906,0.3370
199907,0.3095
199908,0.3102
199909,0.2980
199910,0.2718
199911,0.2688
199912,0.2893
200001,0.2834
200002,0.3410
200003,0.3400
200004,0.3544
200005,0.3432
200006,0.3271
200007,0.3491
200008,0.3712
200009,0.3971
200010,0.3506
200011,0.3449
200012,0.3448
200101,0.3582
200102,0.3599
200103,0.4225
200104,0.4294
200105,0.4530
200106,0.4690
200107,0.4856
200108,0.4768
200109,0.4647
200110,0.4769
200111,0.4555
200112,0.4422
200201,0.4281
200202,0.4488
200203,0.5202
200204,0.4990
200205,0.5027
200206,0.5073
200207,0.4823
200208,0.4586
200209,0.4788
200210,0.4754
200211,0.4463
200212,0.4665
200301,0.4644
200302,0.4493
200303,0.4884
200304,0.4676
200305,0.4765
200306,0.4862
200307,0.5345
200308,0.5611
200309,0.5793
200310,0.5820
200311,0.5239
200312,0.4857
200401,0.4842
200402,0.5012
200403,0.4807
200404,0.4875
200405,0.4353
200406,0.4400
200407,0.4944
200408,0.5264
200409,0.5142
200410,0.5354
200411,0.5161
200412,0.4770
200501,0.4811
200502,0.4681
200503,0.4835
200504,0.5032
200505,0.5335
200506,0.5454
200507,0.5627
200508,0.5760
200509,0.5452
200510,0.5206
200511,0.4827
200512,0.4451
200601,0.4342
200602,0.4377
200603,0.4201
200604,0.4515
200605,0.4902
200606,0.5043
200607,0.5276
200608,0.5476
200609,0.5640
200610,0.5456
200611,0.5615
200612,0.5240
200701,0.5267
200702,0.4877
200703,0.4457
200704,0.4459
200705,0.4386
200706,0.4656
200707,0.4557
200708,0.4402
200709,0.4382
200710,0.4056
200711,0.3172
200712,0.2971
200801,0.3020
200802,0.3011
200803,0.3414
200804,0.3633
200805,0.4029
200806,0.4396
200807,0.4947
200808,0.5104
200809,0.5092
200810,0.5024
200811,0.4366
200812,0.4437
200901,0.4303
200902,0.3994
200903,0.4299
200904,0.4729
200905,0.5275
200906,0.6340
200907,0.6433
200908,0.6333
200909,0.5698
200910,0.5682
200911,0.5955
200912,0.6358
201001,0.6138
201002,0.6059
201003,0.6207
201004,0.6317
201005,0.6077
201006,0.5932
201007,0.5889
201008,0.5587
201009,0.5168
201010,0.4678
201011,0.4505
201012,0.4338
201101,0.4293
201102,0.4368
201103,0.4480
201104,0.4416
201105,0.4750
201106,0.5180
201107,0.5040
201108,0.5000
201109,0.4674
201110,0.4436
201111,0.4246
201112,0.3845
201201,0.3782
201202,0.4129
201203,0.4129
201204,0.4515
201205,0.5067
201206,0.5142
201207,0.5746
201208,0.6033
201209,0.6201
201210,0.5954
201211,0.5503
201212,0.5263
201301,0.4663
201302,0.4523
201303,0.4579
201304,0.4989
201305,0.5453
201306,0.5444
201307,0.6190
201308,0.6348
201309,0.6011
201310,0.5874
201311,0.5886
201312,0.5289
201401,0.5203
